title	score
CLANNAD: After Story (TV)	100
orange (TV)	100
Kaguya-sama wa Kokurasetai: Ultra Romantic (TV)	100
Gimai Seikatsu (TV)	100
Gimai Seikatsu (NOVEL)	100
Tsuki ga Kirei (TV)	100
Somali to Mori no Kamisama (TV)	100
Summer Time Render (TV)	100
Josee to Tora to Sakanatachi (MOVIE)	100
Shigatsu wa Kimi no Uso (TV)	100
Owarimonogatari (TV)	100
Tamako Love Story (MOVIE)	100
Hyouka (TV)	100
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai (TV)	100
Kimi no Suizou wo Tabetai (MOVIE)	100
Koe no Katachi (MOVIE)	100
Mahou Shoujo Madoka☆Magica (TV)	100
Steins;Gate (TV)	100
Kimi no Na wa. (MOVIE)	100
Sakurada Reset (NOVEL)	100
Gin no Saji (MANGA)	100
Josee to Tora to Sakana-tachi (MANGA)	100
Seishun Buta Yarou wa Hatsukoi Shoujo no Yume wo Minai (NOVEL)	100
Seishun Buta Yarou wa Orusuban Imouto no Yume wo Minai (NOVEL)	100
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai (NOVEL)	100
Yagate Kimi ni Naru (MANGA)	100
Ase to Sekken (MANGA)	100
Sayonara Eri (ONE_SHOT)	100
Yugami-kun ni wa Tomodachi ga Inai (MANGA)	100
Mata, Onaji Yume wo Miteita (MANGA)	100
My Girl (MANGA)	100
Koisuru Kiseichuu (MANGA)	100
Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de. (MANGA)	100
ReLife (MANGA)	100
Chihayafuru 2 (TV)	95
Sagrada Reset (TV)	95
Nagato Yuki-chan no Shoushitsu (TV)	95
Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai (MOVIE)	95
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai (TV)	95
Yagate Kimi ni Naru (TV)	95
Kaguya-hime no Monogatari (MOVIE)	95
SHIROBAKO (TV)	95
Seirei no Moribito (TV)	95
[Oshi no Ko] (TV)	95
Toradora! (TV)	95
Zoku Owarimonogatari (OVA)	95
Plastic Memories (TV)	95
Ookami Kodomo no Ame to Yuki (MOVIE)	95
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai (MOVIE)	95
Baby, Good Morning (NOVEL)	95
Chihayafuru (MANGA)	95
Sankaku no Kyori wa Kagirinai Zero (NOVEL)	95
Itoko Doumei (MANGA)	95
Shuumatsu Nani Shitemasuka? Mou Ichido Dake, Aemasuka? (NOVEL)	95
Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai (NOVEL)	95
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai (NOVEL)	95
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka? Ex (NOVEL)	95
Yagate Kimi ni Naru Saeki Sayaka ni Tsuite (NOVEL)	95
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka? (NOVEL)	95
Hanbun no Tsuki ga Noboru Sora (NOVEL)	95
Kimi wa Tsukiyo ni Hikarikagayaku (NOVEL)	95
Musubimonogatari (NOVEL)	95
Zoku Hoshi Mamoru Inu (MANGA)	95
Hoshi Mamoru Inu (MANGA)	95
Kimi wa Tsukiyo ni Hikarikagayaku (MANGA)	95
Horimiya (MANGA)	95
Takopii no Genzai (ONA)	92
Anne Shirley (TV)	92
Ao no Hako (ONA)	92
Gin no Saji 2 (TV)	92
Summer Pockets (TV)	92
Fruits Basket: The Final (TV)	92
Natsume Yuujinchou Go (TV)	92
Chainsaw Man: Reze-hen (MOVIE)	92
Make Heroine ga Oosugiru! (TV)	92
Kidou Senshi Gundam: Suisei no Majo Season 2 (TV)	92
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2 (TV)	92
Shingeki no Kyojin: The Final Season - Kanketsu-hen Kouhen (SPECIAL)	92
Chihayafuru (TV)	92
Hourou Musuko (TV)	92
planetarian: Hoshi no Hito (MOVIE)	92
Violet Evergarden Movie (MOVIE)	92
Kono Sekai no (Sara ni Ikutsumono) Katasumi ni (MOVIE)	92
Lycoris Recoil (TV)	92
Mahoutsukai ni Taisetsu na Koto: Natsu no Sora (TV)	92
Owarimonogatari (Ge) (TV)	92
Hanbun no Tsuki ga Noboru Sora (TV)	92
STAND BY ME Doraemon 2 (MOVIE)	92
Horimiya (TV)	92
Monogatari Series: Second Season (TV)	92
Ougimonogatari (NOVEL)	92
Eien no With (MANGA)	92
Unnamed Memory (NOVEL)	92
Hourou Musuko (MANGA)	92
Shuumatsu Nani Shitemasu ka? Iden: Lillia Aspley (NOVEL)	92
Nagato Yuki-chan no Shoushitsu (MANGA)	92
Plastic Memories: Say to good-bye (MANGA)	92
Mao Yu Hai De Bi Duan (MANGA)	92
Yasashii Hikari (MANGA)	92
Shoujo Shuumatsu Ryokou (MANGA)	92
Iriya no Sora, UFO no Natsu (NOVEL)	92
Tsuka no Ma no Ichika (MANGA)	92
Usotsuki Mii-kun to Kowareta Maa-chan (NOVEL)	92
Lycoris Recoil: Ordinary days (NOVEL)	92
1/11 Juuichi Bun no Ichi (MANGA)	92
Utakata Dialogue (MANGA)	92
Plastic Memories: Heartfelt Thanks (NOVEL)	92
Omoide Emanon (MANGA)	92
Hakoiri Drops (MANGA)	92
Orokamonogatari (NOVEL)	92
Fukanzen na Hito no Tame ni (MANGA)	92
Shigatsu wa Kimi no Uso: Coda (MANGA)	92
Ano Ko ni Kiss to Shirayuri wo (MANGA)	92
Senryuu Shoujo (MANGA)	92
Onani Master Kurosawa (MANGA)	92
Kamisama Hajimemashita◎ (TV)	90
Chihayafuru 3 (TV)	90
Magia Record: Mahou Shoujo Madoka☆Magica Gaiden Final SEASON - Asaki Yume no Akatsuki (TV)	90
Hibi wa Sugiredo Meshi Umashi (TV)	90
Alice to Zouroku (TV)	90
Natsume Yuujinchou Shichi (TV)	90
Zatsu Tabi: That's Journey (TV)	90
Omoide Poro Poro (MOVIE)	90
Fruits Basket: 2nd Season (TV)	90
Natsume Yuujinchou San (TV)	90
Seishun Buta Yarou wa Odekake Sister no Yume wo Minai (MOVIE)	90
Seishun Buta Yarou wa Santa Claus no Yume wo Minai (TV)	90
Renai Flops (TV)	90
Karakai Jouzu no Takagi-san Movie (MOVIE)	90
Liz to Aoi Tori (MOVIE)	90
Hibike! Euphonium 2 (TV)	90
Yahari Ore no Seishun Love Come wa Machigatteiru. Kan (TV)	90
Yahari Ore no Seishun Love Come wa Machigatteiru. Zoku (TV)	90
Suzumiya Haruhi no Shoushitsu (MOVIE)	90
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season (TV)	90
[Oshi no Ko] 2nd Season (TV)	90
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2 (TV)	90
Karakai Jouzu no Takagi-san 2 (TV)	90
Re:Zero kara Hajimeru Isekai Seikatsu (TV)	90
Yahari Ore no Seishun Love Come wa Machigatteiru. (TV)	90
Bocchi the Rock! Re: (MOVIE)	90
Shingeki no Kyojin Season 3 (TV)	90
Yuzuki-san Chi no Yon Kyoudai. (TV)	90
Non Non Biyori: Nonstop (TV)	90
Kuzu no Honkai (TV)	90
Non Non Biyori: Vacation (MOVIE)	90
Haibane Renmei (TV)	90
Gin no Saji (TV)	90
CLANNAD (TV)	90
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka? (TV)	90
Kaguya-sama wa Kokurasetai: Tensaitachi no Renai Zunousen (TV)	90
Bocchi the Rock! (TV)	90
planetarian: Chiisana Hoshi no Yume (ONA)	90
Non Non Biyori (TV)	90
Sora yori mo Tooi Basho (TV)	90
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.: Menma e no Tegami (SPECIAL)	90
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie (MOVIE)	90
Ichigo Mashimaro (TV)	90
Jijou wo Shiranai Tenkousei ga Guigui Kuru. (TV)	90
Mitsuboshi Colors (TV)	90
Chainsaw Man (TV)	90
Chainsaw Man (MANGA)	90
Meitantei Conan (MANGA)	90
Misoshiru de Kanpai! (MANGA)	90
Ponkotsu Fuukiiin to Skirt Take ga Futekisetsu na JK no Hanashi (MANGA)	90
Yotsuba to! (MANGA)	90
Mononoke-hime (MOVIE)	90
Sora no Aosa wo Shiru Hito yo (MOVIE)	90
Yuru Camp△ SEASON 2 (TV)	90
Tanaka-kun wa Itsumo Kedaruge (TV)	90
Gakkou Gurashi! (TV)	90
Happy Sugar Life (TV)	90
Tenki no Ko (MOVIE)	90
Bakemonogatari (TV)	90
Gui Yao Qu Na Li?: Ai De Dao Bie (MANGA)	90
Rakuen, Sore kara. (ONE_SHOT)	90
Shinomonogatari (NOVEL)	90
Seishun Buta Yarou wa Santa Claus no Yume wo Minai (NOVEL)	90
Seishun Buta Yarou wa Nightingale no Yume wo Minai (NOVEL)	90
Akariya (MANGA)	90
Kiokuya (MANGA)	90
Kiseijuu (MANGA)	90
Seishun Buta Yarou wa Odekake Sister no Yume wo Minai (NOVEL)	90
Seishun Buta Yarou wa Petit Devil Kouhai no Yume wo Minai (NOVEL)	90
